sUlamiti	mUlamiti
spazwameva	spazwameva
skuwa7ya7yaH	sPuwADyAyaH
ζές	169
ayamarTa	ayamarTaH
punarapi	punarapi
dditIyaPalArDasaMskftANgImAt	dvitIyaPalArDasaMskftAdBOmAt
mandaPalamuktavat	mandaPalamuktavat
JalvA	kftvA
tatsarvamevAviJatE	tatsarvamevAvikfte
maDyama	maDyame
DanaswaRaM	DanamfRaM
vA	vA
kAryam	kAryam
tasmAdeva	tasmAdeva
prAgvat	prAgvat
BOmInite	BOmonite
dinakara	dinakara
ityAdinA	ityAdinA
SIGraPalamAnIya	SIGraPalamAnIya
tat	tat
sakalameva	sakalameva
watIyakarmasidDe	tftIyakarmasidDe
maDyame	maDyame
DanamfRaM	DanamfRaM
vA	vA
kAyEmiti	kAryamiti
evamasaktAtkaraRe$vaniGnIH	evamasakftkaraRe$vanisUnoH
sPuwalvamAcuH	sPuwatvamAhuH
sitvAntarahasyavidaH	sidDAntarahasyavidaH
kliSabwra	hiSabdaH
prasidDidyotakaH	prasidDidyotakaH
ayaM	ayaM
Slokatrayasya	Slokatrayasya
prayogaH–praTarma	prayogaHpraTamaM
KadeSE	svadeSe
dfzwakAlikAt	izwakAlikAt
BOmarSIGrAt	BOmaSIGrAt
tAtkAlika	tAtkAlikaM
BOmaM	BOmaM
viSoDya	viSoDya
BOmonita	BOmonite
dinakara	dinavAra
ityAdinA	ityAdinA
mandocaM	mandoccaM
sPUwIkkatya	sPuwIkftya
tato	tato
mandapariDinA	mandapariDinA
mandaPalamAnOya	mandaPalamAnIya
tadarDa	tadarDaM
pfTakasTe	pfTakasTe
BOme	BOme
zaqa़ASyUne	zaqrASyUne
mandakendre	mandakendre
fRamaDike	fRamaDike
DanaM	DanaM
CAtvA	kftvA
tatastadeva	tatastadeva
SIGrAddiSoDya	SIGrAdviSoDya
SIGraPalamAnIya	SIGraPalamAnIya
tasyArDa	tasyArDaM
tatrEva	tatrEva
mezAdige	mezAdige
SIGrakendre	SIGrakendre
DanamaDike	DanumaDike
cayaM	kzayaM
kftvA	kftvA
tasmAt	tasmAt
ddikarmasPawAt	dikarmasPuwAt
BOmAt	BOmAt
KamandocaM	svamandoccaM
viSoDya	viSoDya
mandaPalamAnIya	mandaPalamAnIya
tadapi	tadapi
kvate	kfte
maDye	maDye
DanamfRavAMpUrvavat	DanamfRaM^vA^pUrvavat
kAryamT	kAryam
taYca	tacca
SIGrAddiSoDya	SIGrAdviSoDya
SIGraPalaM	SIGraPalaM
KopakaraRErAnIya	svopakaraRErAnIya
tadapi	tadapi
sakalameva	sakalameva
mandasPa़^we	mandasPuwe
prAgvat	prAgvat
DanarfRaM	GanamfRaM
vA	vA
kAryam	kAryam
evaM	evaM
kata	kfte
BIma	BOmaH
sP^wI	sPuwo
Bavati	Bavati
tatastadeva	tatastadeva
maDyamaM	maDyamaM
parikalpya	parikalpya
BOmonita	BOmonite
dinakara	dinakara
