gracintyAvyaktarUpAya	acintyAvyaktarUpAya
nirguRAya	nirguRAya
guRAtmane	guRAtmane
samastajagadADAra^mUrtaye	samastajagadADAramUrtaye
brahmaRe	brahmaRe
namaH	nama
1	101
SrapralpAvaSizwe	alpAvaSizwe
tu	tu
kfte	kfte
mayo	mayo
nAma	nAma
mahAsuraH	mahAsuraH
rahasyaM	rahasyaM
paramaM	paramaM
puRyaM	puRyaM
jijYAsujYAnamuttamam	jijYAsurjYAnamuttamam
2	102
vedANgamagracyamarivalaM	vedANgamayamaKilaM
jyotizAM	jyotizAM
gatikAraRam	gatikAraRam
SraprArADayan	ArADayan
vivasvantaM	vivasvantaM
tapastepe	tapastepe
suduScaram	suduScaram
3	103
tozitastapasA	tozitastapasA
tena	tena
prItastasmE	prItastasmE
varArTine	varArTine
grahARAM	grahARAM
caritaM	caritaM
prAdAnmayAya	prAdAt^mayAya
savitA	savitA
svayam	svayam
4	104
viditaste	viditaste
mayA	mayA
BAvastozitastapasA	BAvastozitastapasA
hyaham	hyaham
dadyAM	dadyAM
kAlASrayaM	kAlASrayaM
jYAna	jYAnaM
grahARAM	grahARAM
caritaM	caritaM
mahat	mahat
5	105
na	na
me	me
tejaH	tejaH
sahaH	sahaH
kaScidAKyAtuM	kaScidAKyAtuM
nAsti	nAsti
me	me
kzaRaH	kzaRa
madaMSaH	madaMSaH
puruzo$yaM	puruzo$yaM
te	te
niSSezaM	niHSezaM
kaTayizyati	kaTayizyati
6	106
ityuktvA$ntardaDe	ityuktvAntardaDe
devaH	devaH
samAdiSyAMSamAtmanaH	samAdiSyAMSamAtmana
sa	sa
pumAn	pumAn
mayamAhedaM	mayamahidaM
praRataM	praRataM
prAYjalisTitam	prAYjalisTitam
7	107
SfRuzvEkamanAH	SfRuzvEkamanAH
pUrvaM	pUrvaM
yaduktaM	yaduktaM
jYAnamuttamam	jYAnamuttamam
yuge	yuge
yuge	yuge
maharzIRAM	maharzIRAM
svayameva	svayameva
viSvasvatA	vivasvatA
8	108
SAstramAdyaM	SAstramAdyaM
tadevedaM	tadevedaM
yatpUrvaM	yatpUrvaM
prAha	prAha
BAskaraH	BAskaraH
yugAnAM	yugAnAM
varivartena	parivartena
kAlaBedo$tra	kAlaBedo$tra
kevalaH	kevalaH
lokAnAmantakft	lokAnAmantakft
kAlaH	kAlaH
kAlo$nyaH	kAlo$nyaH
kalanAtmakaH	kalanAtmakaH
sa	sa
dviDA	dviDA
sTUlasUtmatvAnmUrtaScAmUrta	sTUlasUkzmatvAnmUrtaScAmUrtta
ucyate	ucyate
10	110
prARAdiH	prARAdiH
kaTito	kaTito
mUrtastruwatryAdyo$mUrtasaMjYakaH	mUrtastruwyAdyo$mUrtasaMjYaka
zaqiBaH	zaqBiH
prAReviMnAqI	prARErvinAqI
syAt	syAt
tatzapzwayA	tatzazwyA
nAqikA	nAqikA
smftA	smftA
11	111
nAqIzazwacyA	nAqIzazwyA
tu	tu
nAkzatramahorAtraM	nAkzatramahorAtraM
prakIrtitam	prakIrtitam
tattriMSatA	tattriMSatA
BavenmAsaH	Baven^mAsaH
sAvano$karkodayEstaTA	sAvano$rkodayEstaTA
12	112
EndavastiTiBistadvat	EndavastiTiBistadvat
saMkrAntyA	saMkrAntyA
sOra	sOra
ucyate	ucyate
mAsEdradiSaBirvvarzaM	mAsErdvAdaSaBirvarzaM
divyaM	divyaM
tadaha	tadAha
ucyate	ucyate
13	113
surAsurARAmanyonyamahorAtraM	surAsurARAmanyonyamahorAtraM
viparyayAt	viparyayAt
tat^zazwiH	tatzazwiH
zaqguRA	zaqguRA
divyaM	divyaM
varzamAsurameva	varzamAsurameva
ca	ca
14	114
N	taddvAdaSasahasrARi
ܖ	caturyugamudAhftam
sUryAbdasaNyayA	sUryAbdasaMKyayA
dvitrisAgareSryutAhatEH	dvitrisAgarErayutAhatEH
15	115
sanDyAsanDyAMSasahitaM	sanDyAsanDyAMSasahitaM
vijYeyaM	vijYeyaM
taccaturyugam	taccaturyugam
kftAdInAM	kftAdInAM
vyavasTeyaM	vyavasTeyaM
